,movie_name,movie,opening,date_time,theaters,tot_gross,actors,directors
86,Kevin Hart: Let Me Explain,Kevin Hart: Let Me Explain,"$10,030,463",2013-07-03,876,"$32,244,051",,
87,Side Effects (2013),Side Effects,"$9,303,145",2013-02-08,"2,605","$32,172,757","['Jude Law', 'Rooney Mara', 'Catherine Zeta-Jones', 'Channing Tatum']",['Steven Soderbergh']
88,Scary Movie 5,Scary Movie 5,"$14,157,367",2013-04-12,"3,402","$32,015,787","['Lindsay Lohan', 'Charlie Sheen']",['Malcolm D. Lee']
89,The Mortal Instruments: City of Bones,The Mortal Instruments: City of Bones,"$9,336,957",2013-08-21,"3,118","$31,165,421","['Lily Collins', 'Jonathan Rhys Meyers', 'Lena Headey', 'Jared Harris']",['Harald Zwart']
90,Delivery Man,Delivery Man,"$7,944,977",2013-11-22,"3,036","$30,664,106","['Vince Vaughn', 'Chris Pratt']",['Ken Scott']
91,Grudge Match,Grudge Match,"$7,021,993",2013-12-25,"2,838","$29,807,260","['Sylvester Stallone', 'Robert DeNiro', 'Kevin Hart', 'Kim Basinger']",['Peter Segal']
92,One Direction: This is Us,One Direction: This is Us,"$15,815,497",2013-08-30,"2,735","$28,873,374",,['Morgan Spurlock']
93,Kick-Ass 2,Kick-Ass 2,"$13,332,955",2013-08-16,"2,940","$28,795,985","['Aaron Johnson', 'Chloe Moretz', 'Christopher Mintz-Plasse', 'Jim Carrey', 'Morris Chestnut', 'John Leguizamo', 'Clark Duke']",['Jeff Wadlow']
94,Dallas Buyers Club,Dallas Buyers Club,"$260,865",2013-11-01,9,"$27,298,285","['Matthew McConaughey', 'Jared Leto', 'Jennifer Garner']",['Jean-Marc Vallee']
95,Rush (2013),Rush,"$187,289",2013-09-20,5,"$26,947,624","['Chris Hemsworth', 'Olivia Wilde']",['Ron Howard']
96,The Host (2013),The Host,"$10,600,112",2013-03-29,"3,202","$26,627,201","['Saoirse Ronan', 'Max Irons', 'William Hurt']",['Andrew Niccol']
97,The World's End,The World's End,"$8,811,790",2013-08-23,"1,551","$26,004,851","['Simon Pegg', 'Nick Frost', 'Martin Freeman', 'Rosamund Pike', 'Pierce Brosnan']",['Edgar Wright']
98,21 and Over,21 and Over,"$8,754,168",2013-03-01,"2,771","$25,682,380",['Miles Teller'],"['Jon Lucas', 'Scott Moore']"
99,Her (2013),Her,"$260,382",2013-12-18,6,"$25,568,251","['Joaquin Phoenix', 'Amy Adams', 'Scarlett Johansson', 'Rooney Mara', 'Chris Pratt', 'Olivia Wilde']",['Spike Jonze']
100,American Sniper,American Sniper,"$633,456",2014-12-25,4,"$350,126,372","['Bradley Cooper', 'Kyle Gallner']",['Clint Eastwood']
101,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,"$121,897,634",2014-11-21,"4,151","$337,135,885","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Philip Seymour Hoffman', 'Julianne Moore', 'Elizabeth Banks', 'Jena Malone', 'Jeffrey Wright', 'Stanley Tucci']",['Francis Lawrence']
102,Guardians of the Galaxy,Guardians of the Galaxy,"$94,320,883",2014-08-01,"4,080","$333,176,600","['Michael Rooker', 'Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly', 'Glenn Close', 'Benicio Del Toro', 'Josh Brolin*']",['James Gunn']
103,Captain America: The Winter Soldier,Captain America: The Winter Soldier,"$95,023,721",2014-04-04,"3,938","$259,766,572","['Chris Evans', 'Scarlett Johansson', 'Samuel L. Jackson', 'Robert Redford', 'Sebastian Stan', 'Anthony Mackie', 'Frank Grillo', 'Elizabeth Olsen*']","['Anthony Russo', 'Joe Russo']"
104,The LEGO Movie,The LEGO Movie,"$69,050,279",2014-02-07,"3,775","$257,760,692","['Elizabeth Banks', 'Will Ferrell', 'Anthony Daniels', 'Charlie Day', 'Will Forte', 'Dave Franco', 'Morgan Freeman', 'Jonah Hill', 'Liam Neeson', 'Chris Pratt', 'Jorma Taccone', 'Channing Tatum']","['Phil Lord', 'Chris Miller (II)']"
105,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,"$54,724,334",2014-12-17,"3,875","$255,119,788","['Ian McKellen', 'Martin Freeman', 'Luke Evans', 'Orlando Bloom', 'Evangeline Lilly', 'Hugo Weaving', 'Christopher Lee', 'Cate Blanchett', 'Benedict Cumberbatch']",['Peter Jackson']
106,Transformers: Age of Extinction,Transformers: Age of Extinction,"$100,038,390",2014-06-27,"4,233","$245,439,076","['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",['Michael Bay']
107,Maleficent,Maleficent,"$69,431,298",2014-05-30,"3,948","$241,410,378","['Angelina Jolie', 'Sharlto Copley', 'Elle Fanning', 'Imelda Staunton', 'Juno Temple', 'Brenton Thwaites']",['Robert Stromberg']
108,X-Men: Days of Future Past,X-Men: Days of Future Past,"$90,823,660",2014-05-23,"3,996","$233,921,534","['Omar Sy', 'Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Patrick Stewart', 'Ian McKellen', 'Ellen Page', 'Halle Berry', 'Anna Paquin*', 'Famke Janssen*', 'James Marsden*']",['Bryan Singer']
109,Big Hero 6,Big Hero 6,"$56,215,889",2014-11-07,"3,761","$222,527,828","['Alan Tudyk', 'Jamie Chung']","['Don Hall', 'Chris Williams']"
110,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,"$72,611,427",2014-07-11,"3,967","$208,545,589","['Andy Serkis', 'Gary Oldman', 'Kodi Smit-McPhee']",['Matt Reeves']
111,The Amazing Spider-Man 2,The Amazing Spider-Man 2,"$91,608,337",2014-05-02,"4,324","$202,853,933","['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Dane DeHaan', 'Sally Field', 'Paul Giamatti', 'Chris Cooper', 'Felicity Jones*']",['Marc Webb']
112,Godzilla (2014),Godzilla,"$93,188,384",2014-05-16,"3,952","$200,676,069","['Aaron Johnson', 'Elizabeth Olsen', 'Sally Hawkins', 'Bryan Cranston']",['Gareth Edwards']
113,22 Jump Street,22 Jump Street,"$57,071,445",2014-06-13,"3,306","$191,719,337","['Jonah Hill', 'Channing Tatum', 'Ice Cube', 'Dave Franco*', 'Rob Riggle*']","['Phil Lord', 'Chris Miller (II)']"
114,Teenage Mutant Ninja Turtles (2014),Teenage Mutant Ninja Turtles,"$65,575,105",2014-08-08,"3,845","$191,204,754","['Megan Fox', 'Johnny Knoxville']",['Jonathan Liebesman']
115,Interstellar,Interstellar,"$47,510,360",2014-11-05,"3,561","$188,020,017","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Casey Affleck', 'Topher Grace', 'David Oyelowo*', 'Michael Caine', 'Matt Damon*']",['Christopher Nolan']
116,How to Train Your Dragon 2,How to Train Your Dragon 2,"$49,451,322",2014-06-13,"4,253","$177,002,924","['Jay Baruchel', 'Gerard Butler', 'America Ferrera', 'Jonah Hill', 'Christopher Mintz-Plasse', 'Kristen Wiig', 'Cate Blanchett', 'Djimon Hounsou']",['Dean DeBlois']
117,Gone Girl,Gone Girl,"$37,513,109",2014-10-03,"3,014","$167,767,189","['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry', 'Emily Ratajkowski*', 'Boyd Holbrook*']",['David Fincher']
118,Divergent,Divergent,"$54,607,747",2014-03-21,"3,936","$150,947,895","['Shailene Woodley', 'Theo James', 'Jai Courtney', 'Ray Stevenson', 'Miles Teller', 'Kate Winslet', 'Ashley Judd', 'Ansel Elgort']",['Neil Burger']
119,Neighbors,Neighbors,"$49,033,915",2014-05-09,"3,279","$150,157,400","['Seth Rogen', 'Rose Byrne', 'Zac Efron', 'Dave Franco', 'Christopher Mintz-Plasse']",['Nick Stoller']
120,Ride Along,Ride Along,"$41,516,170",2014-01-17,"2,663","$134,938,200","['Kevin Hart', 'Ice Cube', 'John Leguizamo', 'Laurence Fishburne']",['Tim Story']
121,Rio 2,Rio 2,"$39,327,869",2014-04-11,"3,948","$131,538,435","['Anne Hathaway', 'Jesse Eisenberg', 'Leslie Mann', 'Jemaine Clement', 'Jamie Foxx', 'Tracy Morgan', 'Rodrigo Santoro']",['Carlos Saldanha']
122,Into the Woods,Into the Woods,"$31,051,923",2014-12-25,"2,440","$128,002,372","['Meryl Streep', 'Emily Blunt', 'Anna Kendrick', 'Chris Pine', 'Johnny Depp']",['Rob Marshall']
123,Lucy,Lucy,"$43,899,340",2014-07-25,"3,173","$126,663,600","['Scarlett Johansson', 'Morgan Freeman', 'Analeigh Tipton*']",['Luc Besson']
124,The Fault in our Stars,The Fault in our Stars,"$48,002,523",2014-06-06,"3,173","$124,872,350","['Shailene Woodley', 'Ansel Elgort', 'Willem Dafoe']",['Josh Boone']
125,Unbroken,Unbroken,"$30,621,445",2014-12-25,"3,131","$115,637,895","[""Jack O'Connell"", 'Garrett Hedlund', 'Jai Courtney', 'Alex Russell']",['Angelina Jolie']
126,Night at the Museum: Secret of the Tomb,Night at the Museum: Secret of the Tomb,"$17,100,520",2014-12-19,"3,785","$113,746,621","['Dan Stevens', 'Ben Stiller', 'Robin Williams', 'Owen Wilson', 'Rebel Wilson', 'Ben Kingsley', 'Steve Coogan', 'Ricky Gervais']",['Shawn Levy']
127,Mr. Peabody & Sherman,Mr. Peabody & Sherman,"$32,207,057",2014-03-07,"3,934","$111,506,430","['Ty Burrell', 'Stanley Tucci', 'Lake Bell*', 'Leslie Mann*', 'Allison Janney*']",['Rob Minkoff']
128,300: Rise of An Empire,300: Rise of An Empire,"$45,038,460",2014-03-07,"3,470","$106,580,051","['Eva Green', 'Lena Headey', 'Rodrigo Santoro', ""Jack O'Connell""]",['Noam Murro']
129,The Maze Runner,The Maze Runner,"$32,512,804",2014-09-19,"3,604","$102,427,862",[],['Wes Ball']
130,The Equalizer,The Equalizer,"$34,137,828",2014-09-26,"3,236","$101,530,738","['Denzel Washington', 'Chloe Moretz', 'Melissa Leo']",['Antoine Fuqua']
131,Noah,Noah,"$43,720,472",2014-03-28,"3,567","$101,200,044","['Russell Crowe', 'Jennifer Connelly', 'Emma Watson', 'Anthony Hopkins', 'Logan Lerman', 'Frank Langella*']",['Darren Aronofsky']
132,Edge of Tomorrow,Edge of Tomorrow,"$28,760,246",2014-06-06,"3,490","$100,206,256","['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']",['Doug Liman']
133,Non-Stop,Non-Stop,"$28,875,635",2014-02-28,"3,090","$92,168,600","['Liam Neeson', 'Julianne Moore', ""Lupita Nyong'o""]",['Jaume Collet-Serra']
134,Heaven is for Real,Heaven is for Real,"$22,522,221",2014-04-16,"2,417","$91,443,253","['Greg Kinnear', 'Thomas Haden Church']",['Randall Wallace']
135,The Imitation Game,The Imitation Game,"$479,352",2014-11-28,4,"$91,125,683","['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode', 'Mark Strong']",['Morten Tyldum']
136,Dumb and Dumber To,Dumb and Dumber To,"$36,111,775",2014-11-14,"3,154","$86,208,010","['Jim Carrey', 'Rob Riggle']",['The Farrelly Bros.']
137,Annie (2014),Annie,"$15,861,939",2014-12-19,"3,116","$85,911,262","['Jamie Foxx', 'Quvenzhane Wallis', 'Rose Byrne', 'Cameron Diaz']",['Will Gluck']
138,Fury (2014),Fury,"$23,702,421",2014-10-17,"3,173","$85,817,906","['Brad Pitt', 'Logan Lerman', 'Shia LaBeouf']",['David Ayer']
