,actors,director,imdb,metacritic,movie,rated,rotten_tomatoes,runtime,year
154,"Ben Kingsley, Jared Harris, Nick Frost, Richard Ayoade","Graham Annable, Anthony Stacchi",6.8/10,61/100,The Boxtrolls,PG,75%,96 min,2014
155,"Chris Pine, Keira Knightley, Kevin Costner, Kenneth Branagh",Kenneth Branagh,6.2/10,57/100,Jack Ryan: Shadow Recruit,PG-13,56%,105 min,2014
156,"Chloë Grace Moretz, Mireille Enos, Jamie Blackley, Joshua Leonard",R.J. Cutler,6.8/10,46/100,If I Stay,PG-13,35%,107 min,2014
157,"Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman",Jorge R. Gutiérrez,7.3/10,67/100,The Book of Life,PG,82%,95 min,2014
158,"Kevin Hart, Michael Ealy, Regina Hall, Joy Bryant",Steve Pink,6.1/10,62/100,About Last Night,R,69%,100 min,2014
159,"Richard Armitage, Sarah Wayne Callies, Matt Walsh, Max Deacon",Steven Quale,5.8/10,44/100,Into The Storm,PG-13,21%,89 min,2014
160,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton",David Dobkin,7.4/10,48/100,The Judge,R,48%,141 min,2014
161,"Vincent Piazza, John Lloyd Young, Steve Schirripa, Christopher Walken",Clint Eastwood,6.8/10,54/100,Jersey Boys,R,52%,134 min,2014
162,"Adam Sandler, Drew Barrymore, Kevin Nealon, Terry Crews",Frank Coraci,6.5/10,31/100,Blended,PG-13,14%,117 min,2014
163,"Jeff Bridges, Meryl Streep, Brenton Thwaites, Alexander Skarsgård",Phillip Noyce,6.5/10,47/100,The Giver,PG-13,35%,97 min,2014
164,"Bill Murray, Melissa McCarthy, Naomi Watts, Chris O'Dowd",Theodore Melfi,7.3/10,64/100,St. Vincent,PG-13,77%,102 min,2014
165,"Aaron Paul, Dominic Cooper, Imogen Poots, Kid Cudi",Scott Waugh,6.5/10,39/100,Need for Speed,PG-13,22%,132 min,2014
166,"Seth MacFarlane, Charlize Theron, Amanda Seyfried, Liam Neeson",Seth MacFarlane,6.1/10,44/100,A Million Ways to Die in the West,R,33%,116 min,2014
167,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","Chad Stahelski, David Leitch",7.3/10,68/100,John Wick,R,86%,101 min,2014
168,"Morgan Freeman, Ashley Judd, Juliana Harkavy, Kris Kristofferson",Charles Martin Smith,6.4/10,58/100,Dolphin Tale 2,PG,66%,107 min,2014
169,"Sylvester Stallone, Jason Statham, Harrison Ford, Arnold Schwarzenegger",Patrick Hughes,6.1/10,35/100,The Expendables 3,PG-13,32%,126 min,2014
170,"Teo Halm, Astro, Reese Hartwig, Ella Wahlestedt",Dave Green,5.8/10,53/100,Earth to Echo,PG,49%,91 min,2014
171,"Cameron Diaz, Jason Segel, Rob Corddry, Ellie Kemper",Jake Kasdan,5.1/10,36/100,Sex Tape,R,17%,94 min,2014
172,"Reese Witherspoon, Laura Dern, Thomas Sadoski, Keene McRae",Jean-Marc Vallée,7.1/10,76/100,Wild,R,90%,115 min,2014
173,"Jon Hamm, Pitobash, Suraj Sharma, Madhur Mittal",Craig Gillespie,7.0/10,56/100,Million Dollar Arm,PG,64%,124 min,2014
174,"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",James Marsh,7.7/10,72/100,The Theory of Everything,PG-13,78%,123 min,2014
