,STATION,lat,lng
293,NEWKIRK PLAZA,40.634967,-73.9627763
294,NORTHERN BLVD,40.75311560000001,-73.9071106
295,NORWOOD 205 ST,40.8742935,-73.8775466
296,NORWOOD AV,40.68141,-73.880039
297,NOSTRAND AV,40.67838,-73.94821999999999
298,OCEAN PKWY,40.57819,-73.9681725
299,OZONE PK LEFFRT,40.685951,-73.82579799999999
300,PARK PLACE,40.674772,-73.957624
301,PARKCHESTER,40.8332537,-73.86091850000001
302,PARKSIDE AV,40.655292,-73.961495
303,PARSONS BLVD,40.7074669,-73.8028085
304,PATH NEW WTC,40.71180409999999,-74.0101995
305,PATH WTC 2,40.71180409999999,-74.0101995
306,PAVONIA/NEWPORT,40.72699,-74.03383
307,PELHAM BAY PARK,40.85297509999999,-73.8272119
308,PELHAM PKWY,40.9101272,-73.8088681
309,PENNSYLVANIA AV,40.664635,-73.89489499999999
310,PRESIDENT ST,40.667883,-73.950683
311,PRINCE ST,40.7241072,-73.997665
312,PROSPECT AV,40.66541369999999,-73.99292590000002
313,PROSPECT PARK,40.6608704,-73.9621482
314,QUEENS PLAZA,40.7488446,-73.9370785
315,QUEENSBORO PLZ,40.7505166,-73.9400261
316,RALPH AV,40.6787336,-73.9215528
317,RECTOR ST,40.708009,-74.01352419999999
318,RIT-MANHATTAN,43.0845894,-77.67434449999999
319,RIT-ROOSEVELT,40.7466891,-73.8908579
320,ROCKAWAY AV,40.6625632,-73.9089054
321,ROCKAWAY BLVD,40.6804352,-73.843865
322,ROCKAWAY PARK B,40.5805469,-73.8374249
323,ROOSEVELT ISLND,40.7611977,-73.96420789999999
324,SARATOGA AV,40.661561,-73.9160182
325,SENECA AVE,40.702762,-73.90773999999999
326,SHEEPSHEAD BAY,40.586896,-73.954155
327,SHEPHERD AV,40.67413,-73.88074999999999
328,SIMPSON ST,40.821068,-73.893265
329,SMITH-9 ST,40.6746048,-73.99703970000002
330,SOUTH FERRY,40.7017312,-74.0129477
331,SPRING ST,40.7262059,-74.0040108
332,ST LAWRENCE AV,40.8314929,-73.8674247
333,ST. GEORGE,40.6440079,-74.0733393
334,STEINWAY ST,40.7567083,-73.9206179
335,STERLING ST,40.6632864,-73.951043
336,SUTPHIN BLVD,40.7055511,-73.8097095
337,SUTPHIN-ARCHER,40.70040789999999,-73.8079298
338,SUTTER AV,40.6650348,-73.92286229999999
339,SUTTER AV-RUTLD,40.6650348,-73.92286229999999
340,THIRTY ST,39.9557799,-75.1819683
341,THIRTY THIRD ST,40.7427301,-73.9926213
342,TIMES SQ-42 ST,40.7552574,-73.986933
343,TOMPKINSVILLE,40.636949,-74.074835
344,TREMONT AV,40.84715070000001,-73.89971480000001
345,TWENTY THIRD ST,40.7427301,-73.9926213
346,UNION ST,40.6771517,-73.9830475
347,UTICA AV,40.6689471,-73.93184
348,V.CORTLANDT PK,40.8899597,-73.8982401
349,VAN SICLEN AV,40.6780363,-73.8917242
350,VAN SICLEN AVE,40.6780363,-73.8917242
351,VERNON-JACKSON,40.7427691,-73.9539131
352,W 4 ST-WASH SQ,40.7311107,-74.001224
353,W 8 ST-AQUARIUM,40.57612779999999,-73.97596539999999
354,WAKEFIELD/241,40.9031899,-73.8505502
355,WALL ST,40.7066642,-74.0086487
356,WEST FARMS SQ,40.8405495,-73.8795944
357,WESTCHESTER SQ,40.8401494,-73.8428455
358,WHITLOCK AV,40.8273111,-73.8860414
359,WILSON AV,40.688764,-73.904046
360,WINTHROP ST,40.6571876,-73.94999899999999
361,WOODHAVEN BLVD,40.7330703,-73.87031870000001
362,WOODLAWN,40.895361,-73.862916
363,WORLD TRADE CTR,40.7116424,-74.0115113
364,YORK ST,40.7013507,-73.9866028
365,ZEREGA AV,40.8366593,-73.84666659999999
