Zip,Median,Median_adjusted,Mean
11796,"88,053","98,619","97,094"
11797,"139,209","155,914","190,163"
11798,"67,938","76,091","75,149"
11801,"86,201","96,545","103,356"
11803,"116,391","130,358","137,077"
11804,"109,050","122,136","133,622"
11901,"58,528","65,552","73,673"
11930,"72,175","80,836","90,684"
11931,"77,663","86,983","89,576"
11932,"94,589","105,939","162,763"
11933,"79,402","88,930","92,801"
11934,"76,052","85,178","98,045"
11935,"78,766","88,217","102,633"
11937,"79,893","89,480","129,902"
11939,"66,193","74,136","93,668"
11940,"90,241","101,070","126,446"
11941,"79,352","88,874","107,784"
11942,"81,472","91,248","111,985"
11944,"56,250","63,000","82,387"
11946,"63,450","71,065","83,584"
11947,"77,663","86,983","89,576"
11948,"90,243","101,073","101,532"
11949,"86,595","96,986","105,475"
11950,"76,802","86,018","81,840"
11951,"70,905","79,413","71,328"
11952,"90,734","101,622","102,132"
11953,"65,320","73,159","75,870"
11954,"69,918","78,308","92,272"
11955,"69,803","78,179","85,751"
11956,"78,359","87,762","102,650"
11957,"66,193","74,136","93,668"
11958,"77,933","87,285","102,207"
11959,"83,144","93,121","107,261"
11960,"75,522","84,585","103,774"
11961,"68,939","77,212","80,860"
11962,"94,770","106,142","163,919"
11963,"91,016","101,937","156,503"
11964,"71,384","79,950","93,973"
11965,"71,384","79,950","93,973"
11967,"82,570","92,478","86,510"
11968,"74,487","83,426","154,825"
11970,"77,663","86,983","89,576"
11971,"70,997","79,516","95,009"
11972,"75,353","84,396","107,627"
11975,"93,112","104,285","168,344"
11976,"89,905","100,694","147,241"
11977,"97,954","109,708","129,728"
11978,"82,516","92,418","127,980"
11980,"84,579","94,729","89,630"
12007,"68,165","76,345","73,708"
12008,"71,667","80,267","80,919"
12009,"68,448","76,662","84,140"
12010,"42,485","47,584","53,633"
12015,"4,810","5,387","6,418"
12017,"66,723","74,730","96,400"
12018,"70,813","79,310","80,224"
12019,"84,969","95,165","97,506"
12020,"57,472","64,368","65,898"
12022,"57,321","64,200","62,944"
12023,"64,865","72,649","71,716"
12024,"75,954","85,068","113,441"
12025,"53,760","60,211","74,574"
12027,"75,087","84,097","82,191"
12028,"55,629","62,305","65,791"
12029,"72,992","81,751","96,504"
12032,"50,698","56,782","61,632"
12033,"77,276","86,550","84,715"
12035,"49,932","55,924","64,201"
12036,"44,734","50,102","52,813"
12037,"61,861","69,285","91,310"
12040,"57,321","64,200","62,944"
12041,"67,785","75,919","103,358"
12042,"49,989","55,988","63,423"
12043,"23,043","25,809","32,419"
12045,"68,165","76,345","73,708"
12046,"67,693","75,816","73,542"
12047,"47,341","53,022","57,003"
12051,"40,501","45,361","48,368"
12052,"65,532","73,396","72,012"
12053,"72,749","81,479","79,322"
12054,"89,453","100,187","105,318"
12056,"76,634","85,830","82,682"
12057,"44,286","49,600","53,605"
12058,"49,233","55,141","67,620"
12059,"65,996","73,916","72,010"
12060,"69,241","77,550","93,021"
12061,"76,606","85,798","89,234"
12062,"61,042","68,367","74,444"
12063,"63,234","70,822","75,226"
12064,"43,733","48,981","51,378"
12065,"74,935","83,927","90,235"
12066,"57,983","64,941","69,626"
12067,"69,404","77,733","99,846"
12068,"50,377","56,422","61,839"
12069,"53,873","60,338","63,263"
12070,"54,988","61,587","68,531"
12071,"47,545","53,250","55,838"
12072,"54,670","61,231","65,606"
12074,"67,456","75,550","80,517"
12075,"51,162","57,301","75,655"
12076,"51,808","58,025","60,349"
12077,"82,112","91,965","94,696"
12078,"39,632","44,387","49,696"
12083,"51,357","57,520","60,078"
12084,"84,844","95,025","95,624"
12085,"63,219","70,805","79,047"
12086,"58,262","65,253","69,852"
12087,"57,747","64,676","69,936"
12089,"56,188","62,931","61,939"
12090,"49,059","54,946","60,099"
12092,"46,012","51,534","61,222"
