Zip,Median,Median_adjusted,Mean,Pop
12173,"52,586","58,897","67,604","1,801"
12174,"53,264","59,656","70,809",358
12175,"45,878","51,384","54,086",871
12176,"43,058","48,225","53,813",166
12177,"52,174","58,435","62,174",488
12180,"43,270","48,463","56,554","52,373"
12182,"34,651","38,809","42,860","9,901"
12183,"51,417","57,587","57,344","2,281"
12184,"72,879","81,625","90,122","7,062"
12185,"57,210","64,075","71,409","2,207"
12186,"75,527","84,590","96,584","6,260"
12187,"44,480","49,817","54,901",646
12188,"62,862","70,405","72,914","10,768"
12189,"51,612","57,805","61,486","16,593"
12190,"49,231","55,139","63,180",737
12192,"54,889","61,475","67,902","1,773"
12193,"64,792","72,567","71,008","2,056"
12194,"47,545","53,250","55,838",161
12195,"59,688","66,851","74,234",228
12196,"73,424","82,234","85,711","2,754"
12197,"44,186","49,488","52,464","2,297"
12198,"69,252","77,562","79,794","7,199"
12202,"30,074","33,683","40,534","9,909"
12203,"52,240","58,509","65,318","33,802"
12204,"52,330","58,609","74,573","6,838"
12205,"62,986","70,545","78,551","28,240"
12206,"29,384","32,910","39,183","16,207"
12207,"21,287","23,842","28,874","1,985"
12208,"51,134","57,270","65,534","21,154"
12209,"55,024","61,627","61,516","9,730"
12210,"30,598","34,269","43,876","9,778"
12211,"75,955","85,070","97,674","10,791"
12222,"69,271","77,584","77,839",4
12302,"70,228","78,655","77,683","26,706"
12303,"63,694","71,337","71,259","27,443"
12304,"42,509","47,610","53,980","20,582"
12305,"29,049","32,535","35,929","6,140"
12306,"59,267","66,379","66,852","25,105"
12307,"30,340","33,981","35,032","6,713"
12308,"45,308","50,745","55,527","13,655"
12309,"85,500","95,760","103,583","28,275"
12401,"50,558","56,625","63,156","35,239"
12404,"60,222","67,449","68,945","3,509"
12405,"43,150","48,328","51,233",591
12406,"45,814","51,312","54,279",842
12407,"43,233","48,421","53,489",144
12409,"60,089","67,300","90,820",783
12410,"45,651","51,129","59,713",460
12411,"59,329","66,448","68,979",571
12412,"53,186","59,568","81,720",605
12413,"44,042","49,327","56,898","2,901"
12414,"38,297","42,893","54,082","9,205"
12416,"43,467","48,683","58,541",210
12417,"62,875","70,420","73,425",729
12418,"49,961","55,956","56,116",522
12419,"65,736","73,625","77,165",694
12420,"51,000","57,120","61,593",382
12421,"52,860","59,203","57,442",525
12422,"49,961","55,956","56,116",343
12423,"49,961","55,956","56,116",970
12424,"42,656","47,775","58,063",264
12427,"35,286","39,520","43,167",382
12428,"42,583","47,693","49,840","6,704"
12429,"67,303","75,379","84,728",327
12430,"45,113","50,527","54,301","1,052"
12431,"44,341","49,662","58,550","1,374"
12432,"54,554","61,100","76,378",379
12433,"63,387","70,993","78,656",509
12434,"53,308","59,705","57,690",695
