,Datetime,Zone,actual,pred
250,2015-06-23 02:00:00,Midtown,152.0,57.22266719999999
251,2015-06-23 02:00:00,Midwood,1.0,0.47120905
252,2015-06-23 02:00:00,Morningside Heights,2.0,2.6240063
253,2015-06-23 02:00:00,Murray Hill,15.0,8.519075
254,2015-06-23 02:00:00,Navy Yard,0.0,0.65013206
255,2015-06-23 02:00:00,North Riverdale,0.0,0.48947403
256,2015-06-23 02:00:00,Park Slope,12.0,3.6637108
257,2015-06-23 02:00:00,Port Morris,2.0,1.0168818000000002
258,2015-06-23 02:00:00,Prospect Heights,4.0,2.1095345
259,2015-06-23 02:00:00,Prospect-Lefferts Gardens,5.0,2.165496
260,2015-06-23 02:00:00,Red Hook,1.0,0.96903944
261,2015-06-23 02:00:00,Rego Park,1.0,0.6381913
262,2015-06-23 02:00:00,Richmond Hill,1.0,0.6030430999999999
263,2015-06-23 02:00:00,Ridgewood,2.0,1.7293539
264,2015-06-23 02:00:00,Sheepshead Bay,0.0,0.28837496
265,2015-06-23 02:00:00,SoHo,16.0,7.9114127
266,2015-06-23 02:00:00,South Ozone Park,0.0,0.6203611
267,2015-06-23 02:00:00,Spuyten Duyvil,2.0,0.47255504
268,2015-06-23 02:00:00,Stuyvesant Town,4.0,1.8612738000000002
269,2015-06-23 02:00:00,Sunnyside,2.0,2.1793015
270,2015-06-23 02:00:00,Sunset Park,1.0,2.2958836
271,2015-06-23 02:00:00,Theater District,46.0,14.167933999999999
272,2015-06-23 02:00:00,Two Bridges,4.0,2.53925
273,2015-06-23 02:00:00,Upper East Side,30.0,17.9470921
274,2015-06-23 02:00:00,Upper West Side,29.0,17.055041999999997
275,2015-06-23 02:00:00,Vinegar Hill,1.0,1.6966852
276,2015-06-23 02:00:00,Washington Heights,12.0,4.8662279999999996
277,2015-06-23 02:00:00,West Village,46.0,15.665778999999999
278,2015-06-23 02:00:00,Williamsburg,46.0,29.8861975
279,2015-06-23 02:00:00,Windsor Terrace,0.0,0.6425133000000001
280,2015-06-23 02:00:00,Woodhaven,1.0,0.5284631
281,2015-06-23 02:00:00,Woodside,3.0,1.8007004
282,2015-06-23 03:00:00,Astoria,8.0,5.4456321999999995
283,2015-06-23 03:00:00,Battery Park City,7.0,4.239372299999999
284,2015-06-23 03:00:00,Bay Ridge,1.0,1.0002877000000001
285,2015-06-23 03:00:00,Bayside,4.0,0.5385936
286,2015-06-23 03:00:00,Bedford-Stuyvesant,13.0,6.7593982
287,2015-06-23 03:00:00,Belmont,1.0,0.28620672
288,2015-06-23 03:00:00,Bensonhurst,0.0,0.2271151
289,2015-06-23 03:00:00,Boerum Hill,2.0,2.3364289
290,2015-06-23 03:00:00,Borough Park,0.0,0.45383072
291,2015-06-23 03:00:00,Brooklyn Heights,1.0,2.116108
292,2015-06-23 03:00:00,Brownsville,1.0,0.4850928
293,2015-06-23 03:00:00,Bushwick,20.0,10.6372361
294,2015-06-23 03:00:00,Canarsie,4.0,0.97018987
295,2015-06-23 03:00:00,Carroll Gardens,4.0,1.158108
296,2015-06-23 03:00:00,Central Park,0.0,0.36262986
297,2015-06-23 03:00:00,Chelsea,29.0,19.134285
298,2015-06-23 03:00:00,Chinatown,1.0,2.50932
299,2015-06-23 03:00:00,Civic Center,14.0,7.809241
300,2015-06-23 03:00:00,Clinton Hill,24.0,15.3022426
301,2015-06-23 03:00:00,Cobble Hill,1.0,0.7294991
302,2015-06-23 03:00:00,Columbia St,1.0,0.19864607
303,2015-06-23 03:00:00,Concourse,1.0,0.414517
304,2015-06-23 03:00:00,Corona,0.0,0.5339645000000001
305,2015-06-23 03:00:00,Crown Heights,7.0,4.46269086
306,2015-06-23 03:00:00,Ditmars Steinway,2.0,2.1104564999999997
307,2015-06-23 03:00:00,Downtown Brooklyn,1.0,2.1072083
308,2015-06-23 03:00:00,Dyker Heights,0.0,0.2509569
309,2015-06-23 03:00:00,East Elmhurst,0.0,0.58373874
310,2015-06-23 03:00:00,East Flatbush,8.0,1.68354843
311,2015-06-23 03:00:00,East Harlem,6.0,3.5299444999999996
312,2015-06-23 03:00:00,East New York,3.0,0.56799924
313,2015-06-23 03:00:00,East Village,30.0,16.8677378
314,2015-06-23 03:00:00,Elmhurst,1.0,2.32816507
315,2015-06-23 03:00:00,Financial District,13.0,8.110294699999999
316,2015-06-23 03:00:00,Flatbush,4.0,2.1821412999999996
317,2015-06-23 03:00:00,Flatiron District,7.0,7.254814
318,2015-06-23 03:00:00,Flatlands,2.0,1.1152672
319,2015-06-23 03:00:00,Flushing,5.0,1.50603135
320,2015-06-23 03:00:00,Forest Hills,2.0,1.8796661
321,2015-06-23 03:00:00,Fort Greene,3.0,2.6100912
322,2015-06-23 03:00:00,Glendale,0.0,0.34889773
323,2015-06-23 03:00:00,Gowanus,5.0,0.7149646
324,2015-06-23 03:00:00,Gramercy,26.0,11.3406265
325,2015-06-23 03:00:00,Greenpoint,8.0,5.569761
